"index","filename","syllable","base_vowel","style","target_duration_sec","voiced_duration_sec","sample_rate","recorded_at","mime_type","size_bytes"
"20","아현_020_어_터_short.wav","터","어","short","1","1.00","44100","2026-03-11T14:00:10.852Z","audio/wav","90156"
"21","아현_021_오_오_short.wav","오","오","short","1","1.00","44100","2026-03-11T14:00:30.912Z","audio/wav","81964"
"22","아현_022_오_오_short.wav","오","오","short","1","1.00","44100","2026-03-11T14:00:34.820Z","audio/wav","131116"
"23","아현_023_오_오_normal.wav","오","오","normal","1.5","1.50","44100","2026-03-11T14:00:39.145Z","audio/wav","172076"
"24","아현_024_오_오_normal.wav","오","오","normal","1.5","1.50","44100","2026-03-11T14:00:42.994Z","audio/wav","188460"
"25","아현_025_오_오_long.wav","오","오","long","2.5","2.55","44100","2026-03-11T14:00:48.173Z","audio/wav","278572"
"26","아현_026_오_오_long.wav","오","오","long","2.5","2.55","44100","2026-03-11T14:00:52.921Z","audio/wav","270380"
"27","아현_027_오_로_long.wav","로","오","long","2.5","2.55","44100","2026-03-11T14:00:59.578Z","audio/wav","270380"
"28","아현_028_오_고_long.wav","고","오","long","2.5","2.55","44100","2026-03-11T14:01:04.772Z","audio/wav","278572"
"29","아현_029_오_모_normal.wav","모","오","normal","1.5","1.50","44100","2026-03-11T14:01:08.450Z","audio/wav","172076"
"30","아현_030_오_토_normal.wav","토","오","normal","1.5","1.50","44100","2026-03-11T14:01:12.480Z","audio/wav","196652"
"31","아현_031_우_우_short.wav","우","우","short","1","1.00","44100","2026-03-11T14:01:15.925Z","audio/wav","139308"
"32","아현_032_우_우_short.wav","우","우","short","1","1.00","44100","2026-03-11T14:01:19.434Z","audio/wav","147500"
"33","아현_033_우_우_normal.wav","우","우","normal","1.5","1.50","44100","2026-03-11T14:01:23.506Z","audio/wav","180268"
"34","아현_034_우_우_normal.wav","우","우","normal","1.5","1.50","44100","2026-03-11T14:01:27.495Z","audio/wav","172076"
"35","아현_035_우_우_long.wav","우","우","long","2.5","2.55","44100","2026-03-11T14:01:32.660Z","audio/wav","286764"
"36","아현_036_우_우_long.wav","우","우","long","2.5","2.55","44100","2026-03-11T14:01:37.607Z","audio/wav","270380"
"37","아현_037_우_투_short.wav","투","우","short","1","1.00","44100","2026-03-11T14:01:40.935Z","audio/wav","139308"
"38","아현_038_우_부_normal.wav","부","우","normal","1.5","1.50","44100","2026-03-11T14:01:45.103Z","audio/wav","196652"
"39","아현_039_우_쿠_short.wav","쿠","우","short","1","1.00","44100","2026-03-11T14:01:48.568Z","audio/wav","147500"
"40","아현_040_우_주_normal.wav","주","우","normal","1.5","1.50","44100","2026-03-11T14:01:52.526Z","audio/wav","196652"
"41","아현_041_으_으_short.wav","으","으","short","1","1.00","44100","2026-03-11T14:01:56.483Z","audio/wav","131116"
"42","아현_042_으_으_short.wav","으","으","short","1","1.00","44100","2026-03-11T14:01:59.790Z","audio/wav","131116"
"43","아현_043_으_으_normal.wav","으","으","normal","1.5","1.50","44100","2026-03-11T14:02:03.726Z","audio/wav","180268"
"44","아현_044_으_으_normal.wav","으","으","normal","1.5","1.50","44100","2026-03-11T14:02:07.348Z","audio/wav","180268"
"45","아현_045_으_으_long.wav","으","으","long","2.5","2.55","44100","2026-03-11T14:02:11.979Z","audio/wav","278572"
"46","아현_046_으_으_long.wav","으","으","long","2.5","2.55","44100","2026-03-11T14:02:16.923Z","audio/wav","270380"
"47","아현_047_으_스_long.wav","스","으","long","2.5","2.55","44100","2026-03-11T14:02:34.297Z","audio/wav","278572"
"48","아현_048_으_츠_short.wav","츠","으","short","1","1.00","44100","2026-03-11T14:02:27.950Z","audio/wav","122924"
"49","아현_049_으_므_short.wav","므","으","short","1","1.00","44100","2026-03-11T14:02:43.359Z","audio/wav","81964"
"50","아현_050_으_흐_long.wav","흐","으","long","2.5","2.55","44100","2026-03-11T14:02:48.330Z","audio/wav","270380"
"51","아현_051_이_이_short.wav","이","이","short","1","1.00","44100","2026-03-11T14:02:51.614Z","audio/wav","122924"
"52","아현_052_이_이_short.wav","이","이","short","1","1.00","44100","2026-03-11T14:02:54.652Z","audio/wav","139308"
"53","아현_053_이_이_normal.wav","이","이","normal","1.5","1.50","44100","2026-03-11T14:02:58.267Z","audio/wav","188460"
"54","아현_054_이_이_normal.wav","이","이","normal","1.5","1.50","44100","2026-03-11T14:03:01.664Z","audio/wav","188460"
"55","아현_055_이_이_long.wav","이","이","long","2.5","2.55","44100","2026-03-11T14:03:06.138Z","audio/wav","278572"
"56","아현_056_이_이_long.wav","이","이","long","2.5","2.55","44100","2026-03-11T14:03:10.650Z","audio/wav","270380"
"57","아현_057_이_티_short.wav","티","이","short","1","1.00","44100","2026-03-11T14:03:13.805Z","audio/wav","147500"
"58","아현_058_이_기_long.wav","기","이","long","2.5","2.55","44100","2026-03-11T14:03:18.483Z","audio/wav","286764"
"59","아현_059_이_니_short.wav","니","이","short","1","1.00","44100","2026-03-11T14:03:22.118Z","audio/wav","163884"
"60","아현_060_이_리_normal.wav","리","이","normal","1.5","1.50","44100","2026-03-11T14:03:25.737Z","audio/wav","188460"
"61","아현_061_에_에_short.wav","에","에","short","1","1.00","44100","2026-03-11T14:03:29.016Z","audio/wav","122924"
"62","아현_062_에_에_short.wav","에","에","short","1","1.00","44100","2026-03-11T14:03:32.438Z","audio/wav","155692"
"63","아현_063_에_에_normal.wav","에","에","normal","1.5","1.50","44100","2026-03-11T14:03:36.617Z","audio/wav","221228"
"64","아현_064_에_에_normal.wav","에","에","normal","1.5","1.50","44100","2026-03-11T14:03:40.838Z","audio/wav","229420"
"65","아현_065_에_에_long.wav","에","에","long","2.5","2.55","44100","2026-03-11T14:03:46.397Z","audio/wav","368684"
